Notification ID,Notification short name,Notification long name
GeoFence_generic_in,GeoFence_generic_in Notification,GeoFence_generic_in Notification
Brand,Channel,Attribute,en_US
default,apiPush,body,Your vehicle is back inside the [$.Data.name] boundary.
default,apiPush,subtitle,GeoFence_generic_in Notification
default,apiPush,title,GeoFence_generic_in Notification
default,email,body,Your vehicle is back inside the [$.Data.name] boundary.
default,email,from,no-reply@ahanet.net
default,email,subject,GeoFence_generic_in Notification
default,ivm,body,Your vehicle is back inside the [$.Data.name] boundary.
default,ivm,title,GeoFence_generic_in Notification
default,portal,body,Your vehicle is back inside the [$.Data.name] boundary.
default,push,body,Your vehicle is back inside the [$.Data.name] boundary.
default,push,subtitle,GeoFence_generic_in Notification
default,push,title,GeoFence_generic_in Notification
default,sms,body,Your vehicle is back inside the [$.Data.name] boundary.
