Notification ID,Notification short name,Notification long name
GeoFence_valet_out,GeoFence_valet_out Notification,GeoFence_valet_out Notification
Brand,Channel,Attribute,en_US
default,apiPush,body,Your vehicle has gone outside of the valet boundary.
default,apiPush,subtitle,GeoFence_valet_out Notification
default,apiPush,title,GeoFence_valet_out Notification
default,email,body,Your vehicle has gone outside of the valet boundary.
default,email,from,no-reply@ahanet.net
default,email,subject,GeoFence_valet_out Notification
default,ivm,body,Your vehicle has gone outside of the valet boundary.
default,ivm,title,GeoFence_valet_out Notification
default,portal,body,Your vehicle has gone outside of the valet boundary.
default,push,body,Your vehicle has gone outside of the valet boundary.
default,push,subtitle,GeoFence_valet_out Notification
default,push,title,GeoFence_valet_out Notification
default,sms,body,Your vehicle has gone outside of the valet boundary.
